Block,Lot,FiledDate
2114,005,2013-01-02
1446,024,2013-01-02
3620,049A,2013-01-02
1683,009,2013-01-02
1095,005,2013-01-02
7059,034,2013-01-02
5968,008,2013-01-02
1367,051,2013-01-02
1498,032,2013-01-02
0493,003,2013-01-02
0467A,046,2013-01-02
5609,018,2013-01-02
3721,120,2013-01-02
3740,034,2013-01-02
3721,120,2013-01-02
3740,034,2013-01-02
3740,034,2013-01-02
3740,034,2013-01-02
2524,009,2013-01-02
3740,034,2013-01-02
2004,043,2013-01-02
0229,020,2013-01-02
3582,008,2013-01-02
2362,045,2013-01-02
3582,020,2013-01-02
3582,020,2013-01-02
0250,001,2013-01-02
0237,006,2013-01-02
2376,009,2013-01-02
5804,023,2013-01-02
2804,023,2013-01-02
1230,017,2013-01-02
1230,017,2013-01-02
2931,005,2013-01-02
3196,011,2013-01-02
5895,018,2013-01-02
6540,013,2013-01-02
3518,023,2013-01-02
3607,038,2013-01-02
3196,011,2013-01-02
6997,023,2013-01-02
0227,028,2013-01-02
3780,006,2013-01-02
3725,025,2013-01-02
2618,001,2013-01-02
0537,047,2013-01-02
2719,033,2013-01-02
1879,001P,2013-01-02
3619,072,2013-01-02
3705,042,2013-01-02
2136,007D,2013-01-02
3704,035,2013-01-02
3538,112,2013-01-02
1456,024,2013-01-02
1510,022,2013-01-02
1635,028F,2013-01-02
1635,028F,2013-01-02
0951,026,2013-01-02
3555,031A,2013-01-02
2123A,010A,2013-01-02
3564,045,2013-01-02
5435,006,2013-01-02
3117,011,2013-01-02
1931,039,2013-01-02
0495,002B,2013-01-02
6618,002,2013-01-02
1764,008,2013-01-02
3564,045,2013-01-02
0964,001,2013-01-02
3915,001,2013-01-02
0650,013,2013-01-02
1173,007,2013-01-02
1173,007,2013-01-02
3745,640,2013-01-02
0318,017,2013-01-02
0310,022,2013-01-02
0517,022,2013-01-02
0779,028,2013-01-02
0519,058,2013-01-02
0952,008,2013-01-02
1431,015,2013-01-02
0263,011,2013-01-03
5395,039,2013-01-03
3077,035,2013-01-03
2901A,002,2013-01-03
0918,007,2013-01-03
1004,021,2013-01-03
3707,051,2013-01-03
2884,024,2013-01-03
0941,032,2013-01-03
7118,037,2013-01-03
6968,048,2013-01-03
3090,003,2013-01-03
0604,023,2013-01-03
3708,028,2013-01-03
3750,079,2013-01-03
3751,157,2013-01-03
7295,021,2013-01-03
8711,025,2013-01-03
3721,003,2013-01-03
0222A,070,2013-01-03
0518,026,2013-01-03
0239,009,2013-01-03
0208,028,2013-01-03
0978,015,2013-01-03
4147,023,2013-01-03
0270,002,2013-01-03
0980,009,2013-01-03
0240,020,2013-01-03
3708,028,2013-01-03
2196,047,2013-01-03
0259,026,2013-01-03
2196,047,2013-01-03
2657,004,2013-01-03
3558,148,2013-01-03
4710,081,2013-01-03
0259,026,2013-01-03
0318,014,2013-01-03
3705,049,2013-01-03
2627,001,2013-01-03
2627,001,2013-01-03
2036B,016,2013-01-03
0489,036,2013-01-03
5721,021,2013-01-03
1742,034,2013-01-03
0262,013,2013-01-03
1660,025,2013-01-03
5331,053,2013-01-03
0318,014,2013-01-03
3646,021,2013-01-03
2746,009,2013-01-03
3793,005,2013-01-03
2612,023,2013-01-03
0320,020,2013-01-03
3961,020,2013-01-03
3741,032,2013-01-03
3727,074,2013-01-03
3727,074,2013-01-03
0535,029,2013-01-03
0535,029,2013-01-03
2349,018,2013-01-03
7083,021,2013-01-03
3596,057,2013-01-03
2440,007,2013-01-03
7277,031,2013-01-03
0520,001B,2013-01-03
0520,001B,2013-01-03
0235,022,2013-01-03
1002,031,2013-01-03
0728,075,2013-01-03
0266,009,2013-01-03
0176,010,2013-01-03
3707,020,2013-01-03
0318,014,2013-01-03
3707,016,2013-01-03
5720,059,2013-01-03
4792,018,2013-01-03
2613,018,2013-01-03
0318,014,2013-01-03
0318,014,2013-01-03
0289,004,2013-01-03
0318,014,2013-01-03
0318,014,2013-01-03
0318,014,2013-01-03
0289,004,2013-01-03
0318,014,2013-01-03
5418,013,2013-01-03
3643,003,2013-01-03
1591,002,2013-01-03
3643,003,2013-01-03
3643,003,2013-01-03
3554,027,2013-01-03
3643,015,2013-01-03
3643,015,2013-01-03
1788,020A,2013-01-03
5918,027,2013-01-03
6256,020,2013-01-03
0998,015,2013-01-03
0998,015,2013-01-03
0047C,103,2013-01-03
0294,008,2013-01-03
3709,014,2013-01-03
0976,076,2013-01-03
5556,007,2013-01-03
0976,077,2013-01-03
0976,078,2013-01-03
0976,079,2013-01-03
0575,017,2013-01-03
2854,029,2013-01-03
1159,016,2013-01-03
0318,014,2013-01-03
0529,093,2013-01-03
4097,018,2013-01-03
7138,039,2013-01-03
1764,016,2013-01-03
3732,088,2013-01-03
3002,046,2013-01-03
6917A,011,2013-01-03
5835,059,2013-01-04
3278,006,2013-01-04
0678,105,2013-01-04
0849,010,2013-01-04
0849,010,2013-01-04
6549,039,2013-01-04
3760,011,2013-01-04
6970,005C,2013-01-04
3537,065,2013-01-04
3537,065,2013-01-04
6780,010,2013-01-04
0980,033,2013-01-04
1277,004,2013-01-04
4106,024,2013-01-04
1277,004,2013-01-04
1601,011A,2013-01-04
2618A,019,2013-01-04
0501,024,2013-01-04
0501,024,2013-01-04
6508,032,2013-01-04
4013,023,2013-01-04
1603,047,2013-01-04
4009,008K,2013-01-04
1683,009,2013-01-04
0762,247,2013-01-04
2063,055,2013-01-04
2063,054,2013-01-04
3708,043,2013-01-04
5457,030,2013-01-04
5457,030,2013-01-04
2988A,005,2013-01-04
2187,013B,2013-01-04
0960,001M,2013-01-04
6515,017,2013-01-04
0690,101,2013-01-04
6903,007,2013-01-04
0942,021,2013-01-04
1174,015,2013-01-04
2618A,002,2013-01-04
0636,022,2013-01-04
1928B,044,2013-01-04
2767,009,2013-01-04
8711,014,2013-01-04
3564,091,2013-01-04
1217,029,2013-01-04
0537,010,2013-01-04
1552,001,2013-01-04
3705,042,2013-01-04
1148,010,2013-01-04
3582,057,2013-01-04
8710,007,2013-01-04
2697,013,2013-01-04
2064,001E,2013-01-04
0181,005,2013-01-04
6409,010,2013-01-04
3655,021,2013-01-04
2202,001J,2013-01-04
1041,014,2013-01-04
0346,010,2013-01-04
1015,039,2013-01-04
0537,010,2013-01-04
5375,059,2013-01-04
0552,006,2013-01-04
0552,006,2013-01-04
3758,128,2013-01-04
3754,015,2013-01-04
6130,038,2013-01-04
0309,023,2013-01-04
1526,035,2013-01-04
6415,022,2013-01-04
0768,013,2013-01-04
3543,001,2013-01-04
0200,014,2013-01-04
5082,017,2013-01-04
1526,035,2013-01-04
1526,035,2013-01-04
0710C,002,2013-01-04
